P2B_QoS,A2B_QoS,Delay_(ms),Instance_Count,Total_Messages_Received,Expected_Messages_Received,Message_Loss_Rate_(%),Out_of_Order_Message_Rate_(%),Median_Inter_Message_Gap_(ms)
0,0,0,1,8352353,8352353,0.00,0.00,0.0
0,0,0,2,13311283,13312069,0.01,17.03,0.0
0,0,0,3,18192438,18194808,0.01,31.77,0.0
0,0,0,4,23048290,23588929,2.29,45.63,0.0
0,0,0,5,22797067,28839125,20.95,49.15,0.0
1,0,0,1,3990517,3990517,0.00,0.00,0.0
1,0,0,2,7104309,7104310,0.00,1.52,0.0
1,0,0,3,9640596,9640598,0.00,2.89,0.0
1,0,0,4,11816654,11816657,0.00,3.26,0.0
1,0,0,5,12957793,12957797,0.00,3.91,0.0
2,0,0,1,2254407,2254407,0.00,0.00,0.0
2,0,0,2,4100113,4100114,0.00,2.26,0.0
2,0,0,3,5523448,5523450,0.00,5.85,0.0
2,0,0,4,6644585,6644588,0.00,7.48,0.0
2,0,0,5,7423369,7423373,0.00,11.45,0.0
0,0,1,1,56242,56242,0.00,0.00,1.0
0,0,1,2,112758,112758,0.00,0.00,1.0
0,0,1,3,169190,169190,0.00,0.03,0.0
0,0,1,4,225708,225708,0.00,0.03,0.0
0,0,1,5,282061,282061,0.00,0.02,0.0
1,0,1,1,56017,56017,0.00,0.00,0.0
1,0,1,2,112082,112082,0.00,0.00,0.0
1,0,1,3,168000,168000,0.00,0.00,0.0
1,0,1,4,224244,224245,0.00,0.00,0.0
1,0,1,5,280310,280310,0.00,0.01,0.0
2,0,1,1,55260,55260,0.00,0.00,0.0
2,0,1,2,110702,110702,0.00,0.00,0.0
2,0,1,3,166214,166214,0.00,0.00,0.0
2,0,1,4,221679,221680,0.00,0.01,0.0
2,0,1,5,276821,276821,0.00,0.02,0.0
0,0,2,1,28694,28694,0.00,0.00,2.0
0,0,2,2,57681,57681,0.00,0.00,1.0
0,0,2,3,86953,86953,0.00,0.01,1.0
0,0,2,4,115989,115989,0.00,0.05,0.0
0,0,2,5,145089,145089,0.00,0.05,0.0
1,0,2,1,28638,28638,0.00,0.00,0.0
1,0,2,2,57687,57687,0.00,0.00,0.0
1,0,2,3,86712,86712,0.00,0.00,0.0
1,0,2,4,115759,115759,0.00,0.00,0.0
1,0,2,5,144789,144789,0.00,0.00,0.0
2,0,2,1,28710,28710,0.00,0.00,0.0
2,0,2,2,57523,57523,0.00,0.00,0.0
2,0,2,3,86363,86363,0.00,0.00,0.0
2,0,2,4,115168,115168,0.00,0.00,0.0
2,0,2,5,143993,143993,0.00,0.00,0.0
0,0,4,1,14498,14498,0.00,0.00,4.0
0,0,4,2,29143,29143,0.00,0.01,2.0
0,0,4,3,43887,43887,0.00,0.01,1.0
0,0,4,4,58649,58649,0.00,0.01,1.0
0,0,4,5,73506,73506,0.00,0.04,1.0
1,0,4,1,14458,14458,0.00,0.00,4.0
1,0,4,2,29142,29142,0.00,0.00,0.0
1,0,4,3,43972,43972,0.00,0.00,0.0
1,0,4,4,58771,58771,0.00,0.00,0.0
1,0,4,5,73523,73523,0.00,0.02,0.0
2,0,4,1,14389,14389,0.00,0.00,4.0
2,0,4,2,29304,29304,0.00,0.00,0.0
2,0,4,3,43958,43958,0.00,0.00,0.0
2,0,4,4,58660,58660,0.00,0.01,0.0
2,0,4,5,73337,73337,0.00,0.01,0.0
0,1,0,1,8167461,8167461,0.00,0.00,0.0
0,1,0,2,13489939,13490178,0.00,16.30,0.0
0,1,0,3,18042702,18044571,0.01,31.50,0.0
0,1,0,4,23278133,23286127,0.03,42.09,0.0
0,1,0,5,22936074,28071770,18.29,51.09,0.0
1,1,0,1,3475711,3475711,0.00,0.00,0.0
1,1,0,2,6197732,6197853,0.00,0.72,0.0
1,
