P2B_QoS,A2B_QoS,Delay_(ms),Instance_Count,Total_Messages_Received,Expected_Messages_Received,Message_Loss_Rate_(%),Out_of_Order_Message_Rate_(%),Median_Inter_Message_Gap_(ms),msg_rate_(msg/s)
0,0,0,1.0,121134.0,121135.0,0.0,0.0,0.0,112682.791
0,0,0,2.0,221922.0,221924.0,0.0,0.0,0.0,211354.286
0,0,0,3.0,318987.0,318990.0,0.0,0.0,0.0,306718.269
0,0,0,4.0,410297.0,410301.0,0.0,0.0,0.0,384173.221
0,0,0,5.0,494366.0,494371.0,0.0,0.0,0.0,375372.817
0,0,1,1.0,905.0,906.0,0.11,0.0,1.0,904.096
0,0,1,2.0,1810.0,1814.0,0.22,0.11,1.0,1808.192
0,0,1,3.0,2721.0,2724.0,0.11,0.0,1.0,2598.854
0,0,1,4.0,3629.0,3633.0,0.11,0.0,1.0,3629.0
0,0,1,5.0,4545.0,4550.0,0.11000000000000001,0.0,1.0,4545.0
0,0,2,1.0,460.0,461.0,0.22,0.0,2.0,458.624
0,0,2,2.0,939.0,941.0,0.21,0.0,2.0,900.288
0,0,2,3.0,1416.0,1419.0,0.21,0.0,2.0,1414.585
0,0,2,4.0,1902.0,1907.0,0.2625,0.0525,2.0,1823.586
0,0,2,5.0,2380.0,2385.0,0.21000000000000002,0.0,2.0,2277.512
0,0,4,1.0,240.0,241.0,0.41,0.0,4.0,239.76
0,0,4,2.0,483.0,485.0,0.41,0.0,4.0,482.036
0,0,4,3.0,724.0,727.0,0.41,0.0,4.0,721.834
0,0,4,4.0,971.0,975.0,0.41,0.0,4.0,967.131
0,0,4,5.0,1217.0,1222.0,0.41,0.0,4.0,1163.48
0,1,0,1.0,131190.0,131191.0,0.0,0.0,0.0,125902.111
0,1,0,2.0,225078.0,225080.0,0.0,0.0,0.0,216629.451
0,1,0,3.0,319276.0,319279.0,0.0,0.0,0.0,305819.923
0,1,0,4.0,411180.0,411184.0,0.0,0.0,0.0,378270.469
0,1,0,5.0,487147.0,487152.0,0.0,0.0,0.0,370735.921
0,1,1,1.0,907.0,908.0,0.11,0.0,1.0,904.287
0,1,1,2.0,1815.0,1817.0,0.11,0.0,1.0,1740.173
0,1,1,3.0,2721.0,2724.0,0.11,0.0,1.0,2503.22
0,1,1,4.0,3630.0,3634.0,0.11,0.0,1.0,3480.345
0,1,1,5.0,4550.0,4555.0,0.11000000000000001,0.0,1.0,4358.238
0,1,2,1.0,465.0,466.0,0.21,0.0,2.0,464.535
