pub_id,P2B_QoS,A2B_QoS,Delay_(ms),Instance_Count,Total_Messages_Received,Expected_Messages_Received,Message_Loss_Rate_(%),Out_of_Order_Message_Rate_(%),Median_Inter_Message_Gap_(ms),msg_rate_(msg/s)
0,0,0,0,1,121134,121135,0.00,0.00,0.0,112682.791
0,0,0,0,2,111543,111544,0.00,0.00,0.0,211354.286
1,0,0,0,2,110379,110380,0.00,0.00,0.0,211354.286
0,0,0,0,3,108672,108673,0.00,0.00,0.0,306718.269
1,0,0,0,3,106894,106895,0.00,0.00,0.0,306718.269
2,0,0,0,3,103421,103422,0.00,0.00,0.0,306718.269
0,0,0,0,4,101665,101666,0.00,0.00,0.0,384173.221
1,0,0,0,4,101777,101778,0.00,0.00,0.0,384173.221
2,0,0,0,4,106659,106660,0.00,0.00,0.0,384173.221
3,0,0,0,4,100196,100197,0.00,0.00,0.0,384173.221
0,0,0,0,5,98008,98009,0.00,0.00,0.0,375372.817
1,0,0,0,5,99189,99190,0.00,0.00,0.0,375372.817
2,0,0,0,5,97232,97233,0.00,0.00,0.0,375372.817
3,0,0,0,5,99476,99477,0.00,0.00,0.0,375372.817
4,0,0,0,5,100461,100462,0.00,0.00,0.0,375372.817
0,1,0,0,1,59268,59269,0.00,0.00,0.0,56933.718
0,1,0,0,2,55479,55480,0.00,0.00,0.0,106659.309
1,1,0,0,2,55660,55661,0.00,0.00,0.0,106659.309
0,1,0,0,3,48909,48910,0.00,0.00,0.0,146761.239
1,1,0,0,3,49000,49001,0.00,0.00,0.0,146761.239
2,1,0,0,3,48999,49000,0.00,0.00,0.0,146761.239
0,1,0,0,4,45708,45709,0.00,0.00,0.0,173825.336
1,1,0,0,4,45037,45038,0.00,0.00,0.0,173825.336
2,1,0,0,4,45037,45038,0.00,0.00,0.0,173825.336
3,1,0,0,4,45344,45345,0.00,0.00,0.0,173825.336
0,1,0,0,5,39968,39969,0.00,0.00,0.0,191762.679
1,1,0,0,5,40275,40276,0.00,0.00,0.0,191762.679
2,1,0,0,5,40132,40133,0.00,0.00,0.0,191762.679
3,1,0,0,5,39944,39945,0.00,0.00,0.0,191762.679
4,1,0,0,5,40073,40074,0.00,0.00,0.0,191762.679
0,2,0,0,1,35326,35327,0.00,0.00,0.0,33772.467
0,2,0,0,2,29731,29732,0.00,0.00,0.0,56466.539
1,2,0,0,2,29333,29334,0.00,0.00,0.0,56466.539
0,2,0,0,3,27407,27408,0.00,0.00,0.0,79015.355
