P2B_QoS,A2B_QoS,Delay_(ms),Instance_Count,Total_Messages_Received,Expected_Messages_Received,Message_Loss_Rate_(%),Out_of_Order_Message_Rate_(%),Median_Inter_Message_Gap_(ms),msg_rate_(msg/s)
0,0,0,1,85651,85652,0.00,0.00,0.0,85309.761
0,0,0,2,203548,206013,1.20,91.91,0.0,201333.333
0,0,0,3,306689,307177,0.16,93.32,0.0,295461.464
0,0,0,4,398901,399956,0.26,98.10,0.0,386906.887
0,0,0,5,497874,497875,0.00,99.79,0.0,391410.377
1,0,0,1,64295,64296,0.00,0.00,0.0,64295.000
1,0,0,2,105228,105229,0.00,9.81,0.0,100889.741
1,0,0,3,150061,150062,0.00,11.19,0.0,144150.817
1,0,0,4,186108,186109,0.00,14.62,0.0,186108.000
1,0,0,5,199954,199955,0.00,17.77,0.0,191526.820
2,0,0,1,34287,34288,0.00,0.00,0.0,32904.990
2,0,0,2,63001,63002,0.00,16.13,0.0,60230.402
2,0,0,3,88838,88839,0.00,20.48,0.0,85175.455
2,0,0,4,108570,108571,0.00,25.47,0.0,100249.307
2,0,0,5,120569,120570,0.00,38.43,0.0,115820.365
0,0,1,1,900,901,0.11,0.00,1.0,900.000
0,0,1,2,1800,1803,0.17,18.22,1.0,1798.202
0,0,1,3,2711,2713,0.07,55.74,0.0,2708.292
0,0,1,4,3627,3628,0.03,65.40,0.0,3623.377
0,0,1,5,4529,4530,0.02,83.22,0.0,4519.960
1,0,1,1,870,871,0.11,0.00,0.0,841.393
1,0,1,2,1769,1770,0.06,64.90,0.0,1699.328
1,0,1,3,2658,2659,0.04,81.41,0.0,2553.314
1,0,1,4,3544,3545,0.03,94.84,0.0,3417.551
1,0,1,5,4420,4421,0.02,94.23,0.0,4225.621
2,0,1,1,858,859,0.12,0.00,0.0,833.819
2,0,1,2,1725,1726,0.06,79.25,0.0,1669.894
2,0,1,3,2601,2602,0.04,93.85,0.0,2508.197
2,0,1,4,3459,3460,0.03,94.30,0.0,3319.578
2,0,1,5,4325,4326,0.02,98.45,0.0,4150.672
0,0,2,1,462,463,0.22,0.00,2.0,461.078
0,0,2,2,941,942,0.11,10.63,1.0,940.060
0,0,2,3,1407,1409,0.14,30.99,1.0,1404.192
0,0,2,4,1892,1893,0.05,23.63,1.0,1888.224
0,0,2,5,2375,2376,0.04,50.06,0.0,2360.835
1,0,2,1,465,466,0.21,0.00,0.0,459.486
1,0,2,2,937,938,0.11,34.15,0.0,898.370
1,0,2,3,1400,1401,0.07,58.93,0.0,1347.449
