P2B_QoS,A2B_QoS,Delay_(ms),Instance_Count,Total_Messages_Received,Expected_Messages_Received,Message_Loss_Rate_(%),Out_of_Order_Message_Rate_(%),Median_Inter_Message_Gap_(ms),msg_rate_(msg/s)
0,0,0,1,5950651,5955107,0.07,0.0,0.0,99177.51666666666
0,0,0,2,12248928,12260524,0.09,15.37,0.0,204148.8
0,0,0,3,18400653,18407847,0.04,31.48,0.0,306677.55
0,0,0,4,23354526,23553050,0.84,45.02,0.0,389242.1
0,0,0,5,22782006,28632254,20.43,56.59,0.0,379700.1
1,0,0,1,4034056,4034058,0.0,0.0,0.0,67234.26666666666
1,0,0,2,7108131,7108140,0.0,1.6,0.0,118468.85
1,0,0,3,9498270,9498283,0.0,3.67,0.0,158304.5
1,0,0,4,11871942,11871956,0.0,3.23,0.0,197865.7
1,0,0,5,12943337,12943341,0.0,3.56,0.0,215722.28333333333
2,0,0,1,2287928,2287944,0.0,0.0,0.0,38132.13333333333
2,0,0,2,4139089,4139096,0.0,2.27,0.0,68984.81666666667
2,0,0,3,5575451,5575467,0.0,5.71,0.0,92924.18333333333
2,0,0,4,6703460,6703470,0.0,7.65,0.0,111724.33333333333
2,0,0,5,7373259,7373263,0.0,12.43,0.0,122887.65
0,0,1,1,56460,56462,0.0,0.0,1.0,941.0
0,0,1,2,112849,112850,0.0,0.0,1.0,1880.8166666666666
0,0,1,3,169366,169368,0.0,0.02,0.0,2822.766666666667
0,0,1,4,225702,225703,0.0,0.02,0.0,3761.7
0,0,1,5,282161,282162,0.0,0.02,0.0,4702.683333333333
1,0,1,1,56071,56074,0.01,0.0,0.0,934.5166666666667
1,0,1,2,112201,112211,0.01,0.0,0.0,1870.0166666666667
1,0,1,3,168314,168331,0.01,0.0,0.0,2805.233333333333
1,0,1,4,224255,224258,0.0,0.0,0.0,3737.5833333333335
1,0,1,5,280282,280295,0.0,0.0,0.0,4671.366666666667
2,0,1,1,55404,55410,0.01,0.0,0.0,923.4
2,0,1,2,110927,110932,0.0,0.0,0.0,1848.7833333333333
2,0,1,3,166454,166456,0.0,0.0,0.0,2774.233333333333
2,0,1,4,221654,221661,0.0,0.01,0.0,3694.233333333333
2,0,1,5,276856,276870,0.01,0.02,0.0,4614.266666666666
0,0,2,1,28922,28923,0.0,0.0,2.0,482.03333333333336
0,0,2,2,57750,57751,0.0,0.01,1.0,962.5
0,0,2,3,87096,87097,0.0,0.01,1.0,1451.6
0,0,2,4,116062,116063,0.0,0.03,0.0,1934.3666666666666
0,0,2,5,145058,145059,0.0,0.03,0.0,2417.633333333333
1,0,2,1,28620,28634,0.05,0.0,0.0,477.0
1,0,2,2,57755,57769,0.02,0.0,0.0,962.5833333333334
1,0,2,3,86661,86662,0.0,0.0,0.0,1444.35
1,0,2,4,115881,115889,0.01,0.01,0.0,1931.35
1,0,2,5,144682,144686,0.0,0.0,0.0,2411.366666666667
2,0,2,1,28728,28743,0.05,0.0,0.0,478.8
2,0,2,2,57628,57640,0.02,0.0,0.0,960.4666666666667
2,0,2,3,86420,86423,0.0,0.0,0.0,1440.3333333333333
2,0,2,4,115175,115189,0.01,0.0,0.0,1919.5833333333333
2,0,2,5,143988,143996,0.01,0.01,0.0,2399.8
0,0,4,1,14609,14610,0.01,0.0,4.0,243.48333333333332
0,0,4,2,29222,29223,0.0,0.01,2.0,487.03333333333336
0,0,4,3,44018,44019,0.0,0.01,1.0,733.6333333333333
0,0,4,4,58739,58740,0.0,0.02,1.0,978.9833333333333
0,0,4,5,73448,73449,0.0,0.03,1.0,1224.1333333333334
1,0,4,1,14384,14385,0.01,0.0,4.0,239.73333333333332
1,0,4,2,29304,29310,0.02,0.0,0.0,488.4
1,0,4,3,44127,44141,0.03,0.0,0.0,735.45
1,0,4,4,58893,58901,0.01,0.0,0.0,981.55
1,0,4,5,73559,73563,0.01,0.01,0.0,1225.9833333333333
2,0,4,1,14505,14506,0.01,0.0,4.0,241.75
2,0,4,2,29160,29168,0.03,0.0,0.0,486.0
2,0,4,3,43939,43956,0.04,0.0,0.0,732.3166666666667
2,0,4,4,58692,58707,0.03,0.0,0.0,978.2
2,0,4,5,73419,73420,0.0,0.0,0.0,1223.65
0,1,0,1,8295928,8297955,0.02,0.0,0.0,138265.46666666667
0,1,0,2,13810876,13815285,0.03,16.24,0.0,230181.26666666666
0,1,0,3,18435310,18438921,0.02,32.03,0.0,307255.1666666667
0,1,0,4,22661671,23506374,3.59,44.79,0.0,377694.51666666666
0,1,0,5,22661154,28605893,20.78,55.7,0.0,377685.9
1,1,0,1,3536757,3536758,0.0,0.0,0.0,58945.95
1,1,0,2,6277735,6278470,0.01,0.67,0.0,104628.91666666667
1,1,0,3,8157988,8298116,1.69,2.6,0.0,135966.46666666667
1,1,0,4,6935559,10188439,31.93,2.24,0.0,115592.65
1,1,0,5,5553296,11510184,51.75,1.13,0.0,92554.93333333333
2,1,0,1,2115981,2115982,0.0,0.0,0.0,35266.35
2,1,0,2,3843634,3848806,0.13,2.4,0.0,64060.566666666666
2,1,0,3,5025279,5031203,0.12,5.4,0.0,83754.65
2,1,0,4,5721807,5721808,0.0,9.15,0.0,95363.45
2,1,0,5,5444098,6103853,10.81,10.26,0.0,90734.96666666666
0,1,1,1,56371,56372,0.0,0.0,1.0,939.5166666666667
0,1,1,2,112738,112739,0.0,0.01,1.0,1878.9666666666667
0,1,1,3,169319,169320,0.0,0.01,0.0,2821.983333333333
0,1,1,4,225798,225799,0.0,0.02,0.0,3763.3
0,1,1,5,282230,282231,0.0,0.04,0.0,4703.833333333333
1,1,1,1,55955,55956,0.0,0.0,1.0,932.5833333333334
1,1,1,2,111911,111912,0.0,0.0,1.0,1865.1833333333334
1,1,1,3,167929,167930,0.0,0.0,0.0,2798.8166666666666
1,1,1,4,223686,223687,0.0,0.01,0.0,3728.1
1,1,1,5,279626,279629,0.0,0.01,0.0,4660.433333333333
2,1,1,1,55323,55324,0.0,0.0,1.0,922.05
2,1,1,2,110751,110752,0.0,0.0,1.0,1845.85
2,1,1,3,166066,166067,0.0,0.01,0.0,2767.766666666667
2,1,1,4,221313,221314,0.0,0.01,0.0,3688.55
2,1,1,5,276186,276387,0.07,0.03,0.0,4603.1
0,1,2,1,28775,28776,0.0,0.0,2.0,479.5833333333333
0,1,2,2,57452,57453,0.0,0.01,1.0,957.5333333333333
0,1,2,3,86601,86603,0.0,0.01,1.0,1443.35
0,1,2,4,115915,115916,0.0,0.04,0.0,1931.9166666666667
0,1,2,5,144922,144923,0.0,0.06,0.0,2415.366666666667
1,1,2,1,28591,28592,0.0,0.0,2.0,476.51666666666665
1,1,2,2,57619,57620,0.0,0.0,1.0,960.3166666666667
1,1,2,3,86650,86651,0.0,0.0,1.0,1444.1666666666667
1,1,2,4,115621,115622,0.0,0.01,0.0,1927.0166666666667
1,1,2,5,144560,144561,0.0,0.01,0.0,2409.3333333333335
2,1,2,1,28703,28704,0.0,0.0,2.0,478.3833333333333
2,1,2,2,57525,57526,0.0,0.0,1.0,958.75
2,1,2,3,86184,86185,0.0,0.01,1.0,1436.4
2,1,2,4,114687,114688,0.0,0.02,1.0,1911.45
2,1,2,5,143434,143435,0.0,0.03,0.0,2390.5666666666666
0,1,4,1,14528,14529,0.01,0.0,4.0,242.13333333333333
0,1,4,2,29289,29290,0.0,0.01,2.0,488.15
0,1,4,3,44001,44002,0.0,0.01,1.0,733.35
0,1,4,4,58754,58755,0.0,0.02,1.0,979.2333333333333
0,1,4,5,73516,73517,0.0,0.03,1.0,1225.2666666666667
1,1,4,1,14524,14525,0.01,0.0,4.0,242.06666666666666
1,1,4,2,29273,29274,0.0,0.0,2.0,487.8833333333333
1,1,4,3,43988,44021,0.07,0.0,1.0,733.1333333333333
1,1,4,4,58735,58739,0.01,0.02,1.0,978.9166666666666
1,1,4,5,73431,73432,0.0,0.03,1.0,1223.85
2,1,4,1,14519,14520,0.01,0.0,4.0,241.98333333333332
2,1,4,2,29133,29134,0.0,0.0,2.0,485.55
2,1,4,3,43849,43850,0.0,0.02,1.0,730.8166666666667
2,1,4,4,58502,58503,0.0,0.03,1.0,975.0333333333333
2,1,4,5,73121,73122,0.0,0.05,1.0,1218.6833333333334
